customer_id,snapshot_date,region,preferred_channel,tenure_months,orders_last_6m,avg_order_value,total_spend_12m,last_order_days_ago,last_order_date,support_tickets_6m,returns_6m,is_premium_member,discount_rate,sessions_30d,pages_per_session,email_open_rate,churned
C000001,2025-09-05,APAC,email,11,3,46.09,239.8,38,2025-07-29,0,0,0,0.483,5,2.89,0.017,0
C000002,2025-09-05,APAC,email,4,4,83.37,415.73,128,2025-04-30,1,1,0,0.074,33,5.15,0.518,1
C000003,2025-09-05,APAC,mobile,9,2,42.4,218.67,50,2025-07-17,0,0,1,0.035,7,7.03,0.026,0
C000004,2025-09-05,NA,store,12,0,70.31,152.65,66,2025-07-01,1,1,1,0.241,32,3.41,0.56,0
C000005,2025-09-05,APAC,email,12,6,26.98,110.1,73,2025-06-24,1,0,0,0.516,22,1.01,0.324,0
C000006,2025-09-05,EU,mobile,13,4,57.92,129.32,30,2025-08-06,0,2,0,0.287,10,1.38,0.013,0
C000007,2025-09-05,EU,email,15,0,111.22,1114.53,128,2025-04-30,0,2,0,0.221,9,2.79,0.16,1
C000008,2025-09-05,NA,web,23,4,61.67,1007.22,127,2025-05-01,1,0,1,0.184,44,3.37,0.0,0
C000009,2025-09-05,NA,web,0,0,90.79,396.05,7,2025-08-29,0,1,0,0.374,18,2.17,0.355,1
C000010,2025-09-05,APAC,email,17,3,75.4,382.76,61,2025-07-06,0,0,0,0.352,25,4.38,0.249,0
C000011,2025-09-05,APAC,store,0,2,74.8,827.68,99,2025-05-29,2,0,0,0.49,6,4.51,0.598,1
C000012,2025-09-05,APAC,mobile,15,5,41.99,299.27,40,2025-07-27,0,0,1,0.213,7,3.2,0.005,1
C000013,2025-09-05,EU,mobile,10,5,82.95,258.67,0,2025-09-05,1,1,1,0.148,9,3.36,0.376,0
C000014,2025-09-05,LATAM,mobile,28,0,60.78,317.57,69,2025-06-28,0,0,0,0.11,9,2.75,0.367,0
C000015,2025-09-05,APAC,store,1,3,40.17,174.06,57,2025-07-10,1,0,0,0.409,5,2.98,0.627,1
C000016,2025-09-05,APAC,store,4,4,68.2,388.68,62,2025-07-05,0,0,0,0.568,23,3.52,0.041,1
C000017,2025-09-05,NA,email,11,5,89.86,18.79,174,2025-03-15,0,2,1,0.23,3,5.21,0.053,1
C000018,2025-09-05,APAC,web,0,0,82.39,546.52,45,2025-07-22,0,0,0,0.265,19,4.2,0.369,0
C000019,2025-09-05,LATAM,mobile,0,3,39.02,125.71,52,2025-07-15,1,1,1,0.281,5,6.37,0.179,0
C000020,2025-09-05,APAC,web,10,3,60.05,0.0,10,2025-08-26,0,0,0,0.37,16,1.0,0.066,0
C000021,2025-09-05,APAC,web,7,3,11.17,49.38,7,2025-08-29,0,0,0,0.186,3,5.33,0.469,0
C000022,2025-09-05,LATAM,email,24,4,34.5,41.53,53,2025-07-14,0,0,0,0.188,16,2.2,0.43,0
C000023,2025-09-05,EU,email,22,1,67.89,483.32,70,2025-06-27,0,0,0,0.248,30,5.71,0.009,0
C000024,2025-09-05,NA,mobile,11,0,93.4,448.77,83,2025-06-14,0,1,0,0.335,13,6.41,0.096,1
C000025,2025-09-05,APAC,web,7,3,28.29,310.48,68,2025-06-29,1,0,0,0.461,15,3.53,0.656,1
C000026,2025-09-05,LATAM,web,8,3,59.87,952.51,91,2025-06-06,0,0,0,0.231,23,3.5,0.208,0
C000027,2025-09-05,NA,mobile,11,5,100.55,1046.72,88,2025-06-09,0,0,1,0.119,0,1.94,0.214,0
C000028,2025-09-05,NA,email,9,0,36.41,188.34,71,2025-06-26,0,0,1,0.104,23,3.97,0.147,0
C000029,2025-09-05,APAC,store,9,4,105.67,724.87,43,2025-07-24,0,0,0,0.3,15,3.72,0.25,0
C000030,2025-09-05,NA,mobile,5,2,91.79,1077.23,47,2025-07-20,0,1,1,0.166,15,3.35,0.229,0
C000031,2025-09-05,NA,email,16,1,96.14,47.18,49,2025-07-18,2,0,0,0.537,3,3.15,0.487,0
